text,title
"According to the witness website, SI Raghapathi said that Singurapu Ashwini (23), a resident of the same village, had been in love with Baske Tirupati for three years. Tirupati recently distanced herself from Ashwini. The girl consumed pesticide on Sunday evening. The family members noticed that she was first taken to Mancherial in Kagaznagar and later died on the way to Hyderabad for better treatment.",Girl commits suicide after being separated from boyfriend
"The dissolution of the Legislative Council of AP is likely to be accompanied by the resignation of MLA Roja. A copy of the Council's dissolution resolution is now in the hands of the Center. If the Council's dissolution is approved by the Center, then the posts of cabinet ministers will go to Mopidevi and Pilli Subhash Chandra Bose. But before the Council is approved by the Center, there is a campaign going on that CM Jagan will resign with Mopidevi and Subhash Chandra Bose.",Council dissolved. Roja gets minister's post
"Ravi Teja, who once had back-to-back successes as Mass Maharaj, has been facing flops in the past few films.",Ravi Teja's film has been shelved?
"Minister KTR criticised the previous Congress government for degrading the dignity of the elders' assembly. He recalled that no minister used to come to the council during the Congress regime. There were many occasions when ministers or the council was postponed. Minister KTR said that after the TRS government came, it was working to save the dignity of the elders' assembly. Minister KTR said that the previous governments tried to avoid the question hour. Minister KTR said that the TRS government is also giving high priority to the question hour. Minister KTR announced that 15.92 lakh toilets will be completed by 2nd October 2018. By then the state will be made open defecation free. Rs 2,44 crore will be required for the construction of these. Till now Nizamabad, Rajanna Sircilla, Karimnagar, Peddapalli, Warangal Urban and Medchal districts have been identified as full ODF cities.",Telangana to become an ODF state by October 2
"The action episode will be shot under the leadership of Larnell Stovall-Laud Rimber, who has worked in several Hollywood action films.",Hollywood action scenes for the movie Gani
"Corona tests started on Wednesday at the Fever Hospital in Nallakunta. 22 corona tests were conducted under the trial. Till now there was only an isolated ward. Only corona suspects were kept in this ward. Samples collected from them were sent to Gandhi and Osmania Hospitals for testing. After getting the reports from there, the patient used to start the actual treatment. If positive, they were sent to the Chest Hospital in Erragadda. But the tests started on Wednesday, said Superintendent of the hospital Dr. K. Shankar.",Corona tests begin in hospital in Fever
"Mumbai: Mumbai's Golden Triveni breed of dogs, Buddy and Tiny, will inherit the 50 millionth trust. Going into the details, Nandini Sachdeh and Nimesh Sachdeh of the city have no children. They have no running hospital, no plant god. A baby was born to them in Purit and this has made them suffer even more. To get rid of the childless pain, Nimesh brought three dogs on November 14, 2003. Since then, the dogs have become everything for Nandini and Nimesh. The couple has been taking care of the dogs since then. One dog died in 2016. Nandini has been diagnosed with a heart problem.",The two dogs are worth five crores!
"Chennai: Australia's Dave Whatmore is likely to be appointed as the coach of the Kerala cricket team. In a meeting with the Kerala Ranji players in Chennai this January, Whatmore discussed a number of issues with them. The Kerala Cricket Association has expressed interest in selecting him as the coach. The Cricket Association has already held several rounds of talks with him. The Kerala Cricket Association is once again in talks with Whatmore, who is coming to Chennai on 22nd of this month. If the talks are successful, he will be selected as the coach of the Kerala Ranji team. He was instrumental in the Sri Lankan cricket team's ODI World Cup win in 1996. He studied the new fielding rules and played a key role in the Lankans winning the World Cup.",Former Aussie cricketer to coach Kerala?
"New Year celebrations are taking place all over the world by following the rules of Corona. On the other hand, some film celebrities are celebrating the New Year with some tours and others are celebrating the New Year at home. While Kollywood lovebirds Nayanthara and Vignesh Shivan have celebrated the New Year in a romantic way.",Vignesh Shivan's romantic New Year celebrations with Nayanthara
"New Delhi: The government has issued four separate gazette notifications making Aadhaar mandatory for opening post office deposit accounts, Public Provident Fund (PPF), National Savings Certificate Scheme, Kisan Vikas Patra deposits, etc. Depositors who already have deposits in post offices will have to link their Aadhaar cards with their deposit certificates by December 31 this year. Depositors who have not yet received their Aadhaar number as mentioned in the notifications issued on September 29 will have to submit an application for Aadhaar number enrolment.",Aadhaar mandatory for post office deposits
"Young hero Nithiin has become aggressive. While the shooting of his upcoming film 'Rang De' is in the final stages, another film 'Check' has gone on the sets. Nithiin, Rakul Preet Singh and Priya Varrier are acting in 'Check', which is being directed by Chandrashekhar Yeleti. The film is being produced by V. Anandaprasad under Bhavya Creations banner.",Nitin...
"Hyderabad: The Rachakonda police have arrested an inter-state drug syndicate and seized cocaine, heroin and chemical powder worth Rs 1 crore, Rachakonda CP Mahesh Bhagwat said.",Huge cache of drugs seized in Hyderabad
"Politics in Telangana has taken a turn for the worse in the last few days with the results of the elections to the Dubbaka and GHMC, and both the ruling party and the opposition parties are now in the process of strategizing for the upcoming elections.",Komatireddy holds meeting with key leaders
"Directed by Sampath Nandi, the film stars Gopi Chand as a kabaddi coach.",Making video from Gopi Chand's new film!
Lucknow: Banners in Lucknow in favour of the construction of a Ram temple in Ayodhya have become a topic of discussion.,Banners of Muslim groups in favour of Ram Mandir
"Nellore District: A fatal road accident took place on Friday morning at Pannangadu National Highway in Thada Mandal. Three people were killed. Two others were seriously injured. Anasuriya (27). Vijayalakshmi (37). Lian Sharin (one year). Another woman also died at Gummidipudi Hospital. All of them are from Lawyerpet, Ongole. The driver and owner of the car, Yashwant, are in a critical condition.",Road accident on national highway
The Union Territory of Ladakh has been hit by a series of earthquakes. The latest tremor was recorded at 8: 27 am today. The National Centre for Seismology (NCS) said that the intensity of the tremor was 3.6 on the Richter scale. Details of the damage due to the earthquake are yet to be known. The tremor was also felt in Ladakh around 11.02 hours on Friday morning. The tremor was felt in the Doda area of Jammu and Kashmir at 2: 34 pm yesterday. The NCS said that it was 3.2 on the Richter scale.,Earthquake of 3.6 magnitude hits Ladakh
Andhra Pradesh Chief Minister YS Jagan Mohan Reddy has taken a key decision by extending the relaxation of curfew restrictions in the state by another hour.,Important decision by CM Jagan
"Ranjith Basha, IAS took over as the new Director of Tribal Welfare Department of the State today. Mr. Gandham Chandrudu Basha, Former Director, Tribal Welfare Department in the office of the Director of Tribal Welfare, Vijayawada briefed about the department. Senior officers and employees of the Tribal Welfare Department welcomed and greeted Ranjith Basha. E. Ravindra Babu, MD, TRICAR, took over as the Additional Director, Tribal Welfare Department. Mr. Ranjith Basha, IAS, Director and E. Ravindra Babu, Additional Director, Tribal Welfare Department said that they will work for the welfare of the tribals by implementing the government's promises.",Appointment of new Director and Additional Directors of Tribal Welfare Department
"The death toll in the bridge collapse in Goa has reached 10. More than 50 people are missing after a bridge collapsed on the Zuari river in the Karchoram area last evening. 15 of them were rescued by the rescue team. The search is on for the rest. One of the missing bodies has been fished out. Rescue operations are in full swing. A large number of people were on the bridge at the time of the accident. It is a Portuguese-era bridge. A young man attempted suicide by jumping off the bridge last evening. A large number of people gathered on the bridge as the police tried to save the young man. Some had already left, while others were watching the scene. The bridge was overloaded and collapsed within seconds.",Portuguese-era bridge collapses in Goa
"Hyderabad: Deputy Chief Minister Mohammed Mahmood Ali said that Chief Minister K Chandrashekar Rao has made grand arrangements for the Iftar feast to be given to Muslim brothers on Sunday. He reviewed the arrangements for the Iftar feast on Saturday with the officials concerned at LB Stadium. Speaking on the occasion, he said that arrangements are being made for the feast to accommodate 5,000 to 6,000 people.",Preparations underway for CM's Iftar party
"During the lockdown, essential commodities were distributed to 1000 people from different states in Jubilee Hills. Joint CP West Zone Srinivas, ACP Banjara Hills KS Rao, Jubilee Hills Inspector Sattaiah, DI Ramesh were the chief guests of the distribution program organized by Social Pay Pool Satyanarayana and distributed rice, pulses, salt, pepper, turmeric and oil to them.",Distribution of essential commodities to the people
"Union Minister Nitin Gadkari is arriving in Hyderabad today. Gadkari will attend and address a meeting of BJP leaders at the Imperial Gardens in Secunderabad. BJP national general secretary Polsani Muralidhar Rao, former Union minister Bandaru Dattatreya, state president Dr. K. Laxman, MLA Raja Singh, MLC Ramachandra Rao and Kishan Reddy will attend the meeting.",Union Minister Nitin Gadkari arrives in Hyderabad today
"APESET will accept online applications from July 12 and so far, 19526 students have applied.",APSET Notification Released!
Film producer Ashok Reddy has been arrested by the police in connection with the suicide of television actress Sravani. The police have already arrested Devaraj Reddy and Sai Krishna Reddy among the three accused who were responsible for her suicide.,The police have arrested film producer Ashok Reddy in connection with Sravani's suicide case.
"Appreciating the Prime Minister's decision to extend the lockdown period till 3rd May, Director of Mass Films Boyapati Srinu thanked the Central and State Governments for their hard work on Corona Virus. He also thanked the police and medical staff for their tireless fight in this war. He said that no matter how terrible the Corona virus is, it is a great thing that the whole country is united, without any difference of caste, creed, rich or poor. With this spirit, let us make the lockdown successful till 3rd May. Boyapati shared a long message on social media that everyone should stay at home and fully cooperate with the government and police. Now Boyapati is making a mass entertainer with Natasimha Balayya. Expectations are high as a hat-trick film is coming together. It is heard that Balayya will also be seen in two get-ups in this film.",Praise for Modi
New Delhi: The YSR Congress Party is once again on a warpath in Delhi for special status to Andhra Pradesh.,YSRCP stages protest at Jantar Mantar
"The # MeToo movement has shaken your industry. Many leading actresses have shared their experiences saying that they are also a victim. Bollywood actress Payal Ghosh has also made sensational allegations against filmmaker Anurag Kashyap. She has complained to the police about Anurag's sexual harassment. She has demanded action against him. Four months ago, it created a huge furore.",Will action be taken against him even if I die?
Young Tiger NTR will be making his 30th film under the direction of Trivikram Srinivas.,Is this the release date of NTR's next film with him?
